StationCode,saltwater
304-ARANA-22,True
304-ARANA-23,False
304-ARROY-21,False
304-ARROY-22,False
304-ARROY-23,True
304-BRANC-21,False
304-BRANC-22,False
304-BRANC-23,False
304-BRANC-24,False
304-BRANC-25,False
304-CARBO-21,False
304-CORCO-21,False
304-CORCO-22,False
304-FERRA-21,False
304-GRANI-21,False
304-LAGUN-21,False
304-LIDEL-21,False
304-LITTL-21,False
304-MAJOR-21,False
304-MOLIN-21,False
304-MOORE-21,False
304-MOORE-22,False
304-MOORE-24,False
304-MOORE-25,False
304-MOORE-26,True
304-NEWYE-11,True
304-ROBSC-21,False
304-SANLO-21,False
304-SANLO-22,True
304-SANLO-26,False
304-SANLO-27,False
304-SANVI-21,False
304-SCOTT-21,False
304-SCOTT-22,False
304-SCOTT-23,True
304-SCOTT-24,False
304-SCOTT-25,True
304-SCSD-02,True
304-SCSD-03,False
304-SCSD-04,True
304-SOQUE-21,False
304-SOQUE-22,True
304-VALEN-21,False
304-VALEN-22,False
304-WADDE-21,False
304-WADDE-22,False
304-WILDE-21,False
304-WILDE-22,False
304-ZAYAN-21,False
304-ZAYAN-22,False
305-BEACH-21,True
305-CORRA-21,False
305-CORRA-22,False
305-HARKI-21,True
305-HARKI-22,True
305-HARKI-23,False
305-PAJAR-21,True
305-PASD-01,False
305-STRUV-21,True
305-STRUV-22,True
305-WATSO-21,False
305-WATSO-22,True
305-WATSO-23,True
305-WSTRU-21,True
306-CARNE-31,False
306-CARNE-32,False
306-CARNE-33,True
306-ELKHO-31,True
306-ELKHO-32,True
306-ELKHO-33,True
306-ELKHO-34,False
306-MOROC-31,True
306-MOROC-32,True
306-MOROC-33,True
307-CARME-33,False
307-CARME-35,False
307-CARME-36,False
307-CARME-37,False
307-CARME-38,False
307-CARME-39,True
307-CASD-01,False
307-CASD-02,True
307-CASD-03,True
307-CASD-04,True
307-GARZA-31,False
307-HATTO-31,False
308-BIGCR-31,False
308-BIGSU-31,False
308-BIGSU-32,False
308-DANIC-31,False
308-DOUD-31,False
308-GARRA-31,False
308-HOTSP-31,False
308-LIMEK-31,False
308-MALPA-31,True
308-MCWAY-31,False
308-MILLC-31,True
308-PALOC-31,False
308-PARTI-31,False
308-PLASK-31,False
308-PREWI-31,False
308-ROCKY-31,False
308-SANJO-31,True
308-SOBER-31,False
308-SYCAM-31,False
308-VICEN-31,False
308-WILDC-31,False
308-WILLO-31,False
309-ALISA-32,False
309-ASILO-31,False
309-ATASC-41,False
309-ATASC-42,False
309-CENTR-31,False
309-DOLPH-31,False
309-GABIL-31,False
309-GRAVE-41,False
309-LIBRA-31,False
309-MAJOR-31,False
309-MSD-03,True
309-MSD-04,True
309-MSD-05,True
309-NATIV-31,False
309-PASOR-41,False
309-PGSD-01,True
309-PGSD-03,False
309-PGSD-04,True
309-PGSD-06,False
309-PGSD-08,True
309-PGSD-09,True
309-PGSD-10,True
309-PGSD-11,True
309-PGSD-12,True
309-PGSD-13,True
309-RECDI-31,False
309-RINCO-41,False
309-SALIN-31,True
309-SALIN-32,False
309-SALIN-33,False
309-SALIN-44,False
309-SALIN-45,False
309-SALIN-47,False
309-SMARG-41,False
309-SRITA-32,False
309-SRITA-33,False
309-SRITA-34,False
309-SRITA-35,False
309-SSD-01,False
309-SSD-02,True
309-SSD-03,False
309-TEMBL-31,True
309-TEMBL-32,True
309-TEMBL-33,True
309-TROUT-41,False
309-UPPER-31,False
309-VETER-31,False
309-YERBA-41,False
310-ARROY-41,True
310-ARROY-42,True
310-CARPO-41,True
310-LAGUN-41,True
310-LITTL-41,True
310-PICOC-41,True
310-SANSI-41,True
310-SANTA-41,False
310-SANTA-42,False
310-SYB-41,True
310-UCF-41,False
31000,True
310CCC,False
310CER,False
310CLV,False
310CPN,False
310DAL,False
310DAM,False
310DAU,False
310PEN,False
310SBE,False
310SLU,False
310UCR,False
312SAL,False
317-ESTRE-43,False
32000,False
33000,False
34000,True
35000,False
36000,True
37000,True
